stage_class,match_winner,match_loser
Qualifiers,Dallas Fuel,Los Angeles Gladiators
Qualifiers,San Francisco Shock,Los Angeles Gladiators
Qualifiers,Shanghai Dragons,Guangzhou Charge
Qualifiers,Houston Outlaws,Paris Eternal
Tournament,San Francisco Shock,Washington Justice
Qualifiers,Los Angeles Valiant,Philadelphia Fusion
Qualifiers,Florida Mayhem,Boston Uprising
Tournament,Florida Mayhem,London Spitfire
Qualifiers,New York Excelsior,Houston Outlaws
Qualifiers,San Francisco Shock,Washington Justice
Qualifiers,Guangzhou Charge,Philadelphia Fusion
Qualifiers,Boston Uprising,Vancouver Titans
Tournament,Dallas Fuel,Washington Justice
Tournament,Florida Mayhem,London Spitfire
Qualifiers,New York Excelsior,Toronto Defiant
Qualifiers,Shanghai Dragons,Hangzhou Spark
Qualifiers,San Francisco Shock,Atlanta Reign
Qualifiers,Florida Mayhem,Vancouver Titans
