match_id,score_winner,score_loser,stage_class,score_str
38971,3,1,Qualifiers,3-1
38972,3,0,Qualifiers,3-0
38973,3,1,Qualifiers,3-1
38975,3,0,Qualifiers,3-0
38974,3,2,Qualifiers,3-2
38976,3,0,Qualifiers,3-0
38977,3,1,Qualifiers,3-1
38978,3,0,Qualifiers,3-0
38979,3,1,Qualifiers,3-1
38980,3,0,Qualifiers,3-0
38981,3,1,Qualifiers,3-1
38982,3,0,Qualifiers,3-0
38983,3,2,Qualifiers,3-2
38984,3,0,Qualifiers,3-0
38985,3,1,Qualifiers,3-1
38986,3,0,Qualifiers,3-0
38987,3,1,Qualifiers,3-1
38988,3,2,Qualifiers,3-2
38989,3,1,Qualifiers,3-1
38990,3,2,Qualifiers,3-2
38991,3,1,Qualifiers,3-1
38992,3,0,Qualifiers,3-0
39011,3,0,Qualifiers,3-0
39016,3,1,Qualifiers,3-1
39017,3,1,Qualifiers,3-1
38993,3,1,Qualifiers,3-1
38994,3,0,Qualifiers,3-0
38995,3,0,Qualifiers,3-0
39012,3,0,Qualifiers,3-0
39027,3,2,Qualifiers,3-2
39025,3,2,Qualifiers,3-2
38996,3,0,Qualifiers,3-0
38997,3,2,Qualifiers,3-2
38998,3,1,Qualifiers,3-1
39029,3,0,Qualifiers,3-0
39028,3,0,Qualifiers,3-0
39015,3,2,Qualifiers,3-2
38999,3,0,Qualifiers,3-0
39000,3,0,Qualifiers,3-0
39001,3,1,Qualifiers,3-1
39014,3,0,Qualifiers,3-0
39026,3,1,Qualifiers,3-1
39030,3,2,Qualifiers,3-2
39022,3,1,Qualifiers,3-1
39019,3,0,Qualifiers,3-0
39020,3,2,Qualifiers,3-2
39002,3,1,Qualifiers,3-1
39003,3,1,Qualifiers,3-1
39004,3,1,Qualifiers,3-1
39021,3,0,Qualifiers,3-0
39013,3,1,Qualifiers,3-1
39031,3,1,Qualifiers,3-1
39005,3,2,Qualifiers,3-2
39006,3,2,Qualifiers,3-2
39007,3,1,Qualifiers,3-1
39024,3,1,Qualifiers,3-1
39018,3,1,Qualifiers,3-1
39023,3,2,Qualifiers,3-2
39008,3,0,Qualifiers,3-0
39009,3,0,Qualifiers,3-0
39041,3,2,Tournament,3-2
39042,3,1,Tournament,3-1
39043,3,0,Tournament,3-0
39044,3,0,Tournament,3-0
39061,3,1,Tournament,3-1
39062,3,2,Tournament,3-2
39045,3,1,Tournament,3-1
39053,3,1,Tournament,3-1
39051,3,1,Tournament,3-1
39054,3,1,Tournament,3-1
39066,3,0,Tournament,3-0
39063,3,0,Tournament,3-0
39052,3,1,Tournament,3-1
39049,3,1,Tournament,3-1
39046,3,0,Tournament,3-0
39050,3,0,Tournament,3-0
39065,3,2,Tournament,3-2
39064,4,0,Tournament,4-0
39048,3,1,Tournament,3-1
39047,4,0,Tournament,4-0
39161,3,2,Qualifiers,3-2
39162,3,0,Qualifiers,3-0
39163,3,1,Qualifiers,3-1
39164,3,1,Qualifiers,3-1
39165,3,2,Qualifiers,3-2
39166,3,0,Qualifiers,3-0
39167,3,2,Qualifiers,3-2
39168,3,1,Qualifiers,3-1
39169,3,0,Qualifiers,3-0
39170,3,1,Qualifiers,3-1
39171,3,0,Qualifiers,3-0
39172,3,2,Qualifiers,3-2
39173,3,0,Qualifiers,3-0
39010,3,2,Qualifiers,3-2
