team_region,match_winner,total_wins,win_rate
APAC region,Seoul Dynasty,19,79.16666666666667
APAC region,Shanghai Dragons,18,75
APAC region,Hangzhou Spark,11,45.833333333333336
APAC region,Philadelphia Fusion,11,45.833333333333336
APAC region,Chengdu Hunters,9,37.5
APAC region,Guangzhou Charge,9,37.5
APAC region,Los Angeles Valiant,7,29.166666666666668
NA region,Dallas Fuel,20,83.33333333333333
NA region,San Francisco Shock,20,83.33333333333333
NA region,Los Angeles Gladiators,18,75
NA region,Houston Outlaws,16,66.66666666666667
NA region,London Spitfire,14,58.333333333333336
NA region,Atlanta Reign,13,54.166666666666664
NA region,Florida Mayhem,12,50
NA region,Toronto Defiant,12,50
NA region,Washington Justice,11,45.833333333333336
NA region,Boston Uprising,10,41.666666666666664
NA region,Vancouver Titans,5,20.833333333333332
NA region,New York Excelsior,4,16.666666666666668
NA region,Paris Eternal,1,4.166666666666667
