match_id,game_number,match_winner,map_name,total_time_match,stage_class,map_class
38971,1,Los Angeles Gladiators,Lijiang Tower,5340,Qualifiers,Control
38971,2,Los Angeles Gladiators,Midtown,5340,Qualifiers,Hybrid
38971,3,Los Angeles Gladiators,Circuit royal,5340,Qualifiers,Escort
38971,4,Los Angeles Gladiators,New Queen Street,5340,Qualifiers,Push
38972,1,San Francisco Shock,Ilios,3600,Qualifiers,Control
38972,2,San Francisco Shock,King's Row,3600,Qualifiers,Hybrid
38972,3,San Francisco Shock,Dorado,3600,Qualifiers,Escort
38973,1,Atlanta Reign,Lijiang Tower,4680,Qualifiers,Control
38973,2,Atlanta Reign,Eichenwalde,4680,Qualifiers,Hybrid
38973,3,Atlanta Reign,Watchpoint: Gibraltar,4680,Qualifiers,Escort
38973,4,Atlanta Reign,Colosseo,4680,Qualifiers,Push
38975,1,San Francisco Shock,Lijiang Tower,3300,Qualifiers,Control
38975,2,San Francisco Shock,Eichenwalde,3300,Qualifiers,Hybrid
38975,3,San Francisco Shock,Watchpoint: Gibraltar,3300,Qualifiers,Escort
38974,1,Boston Uprising,Ilios,7440,Qualifiers,Control
38974,2,Boston Uprising,Midtown,7440,Qualifiers,Hybrid
38974,3,Boston Uprising,Circuit royal,7440,Qualifiers,Escort
38974,4,Boston Uprising,Colosseo,7440,Qualifiers,Push
38974,5,Boston Uprising,Oasis,7440,Qualifiers,Control
38976,1,Houston Outlaws,Oasis,3600,Qualifiers,Control
38976,2,Houston Outlaws,Midtown,3600,Qualifiers,Hybrid
38976,3,Houston Outlaws,Dorado,3600,Qualifiers,Escort
38977,1,Washington Justice,Ilios,4260,Qualifiers,Control
38977,2,Washington Justice,Midtown,4260,Qualifiers,Hybrid
38977,3,Washington Justice,Circuit royal,4260,Qualifiers,Escort
38977,4,Washington Justice,New Queen Street,4260,Qualifiers,Push
38978,1,Atlanta Reign,Oasis,3360,Qualifiers,Control
38978,2,Atlanta Reign,King's Row,3360,Qualifiers,Hybrid
38978,3,Atlanta Reign,Route 66,3360,Qualifiers,Escort
38979,1,Los Angeles Gladiators,Ilios,4380,Qualifiers,Control
38979,2,Los Angeles Gladiators,Eichenwalde,4380,Qualifiers,Hybrid
38979,3,Los Angeles Gladiators,Watchpoint: Gibraltar,4380,Qualifiers,Escort
38979,4,Los Angeles Gladiators,Colosseo,4380,Qualifiers,Push
38980,1,London Spitfire,Oasis,3780,Qualifiers,Control
38980,2,London Spitfire,King's Row,3780,Qualifiers,Hybrid
38980,3,London Spitfire,Route 66,3780,Qualifiers,Escort
38981,1,Florida Mayhem,Oasis,6660,Qualifiers,Control
38981,2,Florida Mayhem,Midtown,6660,Qualifiers,Hybrid
38981,3,Florida Mayhem,Circuit royal,6660,Qualifiers,Escort
38981,4,Florida Mayhem,New Queen Street,6660,Qualifiers,Push
38982,1,Dallas Fuel,Lijiang Tower,2880,Qualifiers,Control
38982,2,Dallas Fuel,Eichenwalde,2880,Qualifiers,Hybrid
38982,3,Dallas Fuel,Route 66,2880,Qualifiers,Escort
38983,1,Toronto Defiant,Lijiang Tower,5400,Qualifiers,Control
38983,2,Toronto Defiant,King's Row,5400,Qualifiers,Hybrid
38983,3,Toronto Defiant,Watchpoint: Gibraltar,5400,Qualifiers,Escort
38983,4,Toronto Defiant,New Queen Street,5400,Qualifiers,Push
38983,5,Toronto Defiant,Ilios,5400,Qualifiers,Control
38984,1,Florida Mayhem,Colosseo,3000,Qualifiers,Push
38984,2,Florida Mayhem,Dorado,3000,Qualifiers,Escort
38984,3,Florida Mayhem,King's Row,3000,Qualifiers,Hybrid
38985,1,San Francisco Shock,New Queen Street,4560,Qualifiers,Push
38985,2,San Francisco Shock,Circuit royal,4560,Qualifiers,Escort
38985,3,San Francisco Shock,Midtown,4560,Qualifiers,Hybrid
38985,4,San Francisco Shock,Ilios,4560,Qualifiers,Control
38986,1,Washington Justice,Colosseo,3300,Qualifiers,Push
38986,2,Washington Justice,Dorado,3300,Qualifiers,Escort
38986,3,Washington Justice,Eichenwalde,3300,Qualifiers,Hybrid
38987,1,London Spitfire,Colosseo,5220,Qualifiers,Push
38987,2,London Spitfire,Route 66,5220,Qualifiers,Escort
38987,3,London Spitfire,Midtown,5220,Qualifiers,Hybrid
38987,4,London Spitfire,Lijiang Tower,5220,Qualifiers,Control
38988,1,Dallas Fuel,Colosseo,5580,Qualifiers,Push
38988,2,Dallas Fuel,Watchpoint: Gibraltar,5580,Qualifiers,Escort
38988,3,Dallas Fuel,Eichenwalde,5580,Qualifiers,Hybrid
38988,4,Dallas Fuel,Ilios,5580,Qualifiers,Control
38988,5,Dallas Fuel,New Queen Street,5580,Qualifiers,Push
38989,1,New York Excelsior,New Queen Street,4140,Qualifiers,Push
38989,2,New York Excelsior,Watchpoint: Gibraltar,4140,Qualifiers,Escort
38989,3,New York Excelsior,Eichenwalde,4140,Qualifiers,Hybrid
38989,4,New York Excelsior,Lijiang Tower,4140,Qualifiers,Control
38990,1,Houston Outlaws,Colosseo,5340,Qualifiers,Push
38990,2,Houston Outlaws,Route 66,5340,Qualifiers,Escort
38990,3,Houston Outlaws,King's Row,5340,Qualifiers,Hybrid
38990,4,Houston Outlaws,Lijiang Tower,5340,Qualifiers,Control
38990,5,Houston Outlaws,New Queen Street,5340,Qualifiers,Push
38991,1,San Francisco Shock,New Queen Street,4560,Qualifiers,Push
38991,2,San Francisco Shock,Dorado,4560,Qualifiers,Escort
38991,3,San Francisco Shock,King's Row,4560,Qualifiers,Hybrid
38991,4,San Francisco Shock,Oasis,4560,Qualifiers,Control
38992,1,Toronto Defiant,New Queen Street,3000,Qualifiers,Push
