round_start_time,round_end_time,stage,match_id,game_number,match_winner,map_winner,map_loser,map_name,map_round,winning_team_final_map_score,losing_team_final_map_score,control_round_name,Attacker,Defender,team_home,team_away,attacker_payload_distance,defender_payload_distance,attacker_time_banked,defender_time_banked,attacker_control_perecent,defender_control_perecent,attacker_round_end_score,defender_round_end_score,total_time_match,match_rounds,stage_class,map_class,team_region,score_winner,score_loser
2022-05-05T19:10:00Z,2022-05-05T19:16:00Z,2022: Kickoff Clash: Qualifiers,38971,1,Los Angeles Gladiators,Los Angeles Gladiators,New York Excelsior,Lijiang Tower,1,2,1,Control Center,New York Excelsior,Los Angeles Gladiators,New York Excelsior,Los Angeles Gladiators,0,0,0,0,100,99,1,0,5340,1,Qualifiers,Control,"NA region",3,1
2022-05-05T19:16:00Z,2022-05-05T19:21:00Z,2022: Kickoff Clash: Qualifiers,38971,1,Los Angeles Gladiators,Los Angeles Gladiators,New York Excelsior,Lijiang Tower,2,2,1,Garden,New York Excelsior,Los Angeles Gladiators,New York Excelsior,Los Angeles Gladiators,0,0,0,0,84,100,1,1,5340,2,Qualifiers,Control,"NA region",3,1
2022-05-05T19:22:00Z,2022-05-05T19:25:00Z,2022: Kickoff Clash: Qualifiers,38971,1,Los Angeles Gladiators,Los Angeles Gladiators,New York Excelsior,Lijiang Tower,3,2,1,Night Market,New York Excelsior,Los Angeles Gladiators,New York Excelsior,Los Angeles Gladiators,0,0,0,0,0,100,1,2,5340,3,Qualifiers,Control,"NA region",3,1
2022-05-05T19:33:00Z,2022-05-05T19:42:00Z,2022: Kickoff Clash: Qualifiers,38971,2,Los Angeles Gladiators,Los Angeles Gladiators,New York Excelsior,Midtown,1,2,0,NA,Los Angeles Gladiators,New York Excelsior,New York Excelsior,Los Angeles Gladiators,93.84567,0,0,0,NA,NA,2,0,5340,4,Qualifiers,Hybrid,"NA region",3,1
2022-05-05T19:43:00Z,2022-05-05T19:47:00Z,2022: Kickoff Clash: Qualifiers,38971,2,Los Angeles Gladiators,Los Angeles Gladiators,New York Excelsior,Midtown,2,2,0,NA,New York Excelsior,Los Angeles Gladiators,New York Excelsior,Los Angeles Gladiators,0,93.84567,0,0,NA,NA,0,2,5340,5,Qualifiers,Hybrid,"NA region",3,1
2022-05-05T20:01:00Z,2022-05-05T20:09:00Z,2022: Kickoff Clash: Qualifiers,38971,3,Los Angeles Gladiators,New York Excelsior,Los Angeles Gladiators,Circuit royal,1,3,3,NA,Los Angeles Gladiators,New York Excelsior,New York Excelsior,Los Angeles Gladiators,90.67619,0,0,0,NA,NA,2,0,5340,6,Qualifiers,Escort,"NA region",3,1
2022-05-05T20:11:00Z,2022-05-05T20:20:00Z,2022: Kickoff Clash: Qualifiers,38971,3,Los Angeles Gladiators,New York Excelsior,Los Angeles Gladiators,Circuit royal,2,3,3,NA,New York Excelsior,Los Angeles Gladiators,New York Excelsior,Los Angeles Gladiators,90.68675,90.67619,0,0,NA,NA,3,2,5340,7,Qualifiers,Escort,"NA region",3,1
2022-05-05T20:30:00Z,2022-05-05T20:39:00Z,2022: Kickoff Clash: Qualifiers,38971,4,Los Angeles Gladiators,Los Angeles Gladiators,New York Excelsior,New Queen Street,1,1,0,NA,Los Angeles Gladiators,New York Excelsior,New York Excelsior,Los Angeles Gladiators,82.3594748,59.58772000000002,0,0,NA,NA,1,0,5340,8,Qualifiers,Push,"NA region",3,1
2022-05-05T21:01:00Z,2022-05-05T21:05:00Z,2022: Kickoff Clash: Qualifiers,38972,1,San Francisco Shock,San Francisco Shock,Paris Eternal,Ilios,1,2,2,Ruins,San Francisco Shock,Paris Eternal,San Francisco Shock,Paris Eternal,0,0,0,0,100,37,1,0,3600,1,Qualifiers,Control,"NA region",3,0
2022-05-05T21:06:00Z,2022-05-05T21:11:00Z,2022: Kickoff Clash: Qualifiers,38972,1,San Francisco Shock,San Francisco Shock,Paris Eternal,Ilios,2,2,2,Well,San Francisco Shock,Paris Eternal,San Francisco Shock,Paris Eternal,0,0,0,0,100,69,2,0,3600,2,Qualifiers,Control,"NA region",3,0
2022-05-05T21:19:00Z,2022-05-05T21:27:00Z,2022: Kickoff Clash: Qualifiers,38972,2,San Francisco Shock,San Francisco Shock,Paris Eternal,King's Row,1,3,3,NA,Paris Eternal,San Francisco Shock,San Francisco Shock,Paris Eternal,64.337395,0,0,0,NA,NA,2,0,3600,3,Qualifiers,Hybrid,"NA region",3,0
2022-05-05T21:29:00Z,2022-05-05T21:35:00Z,2022: Kickoff Clash: Qualifiers,38972,2,San Francisco Shock,San Francisco Shock,Paris Eternal,King's Row,2,3,3,NA,San Francisco Shock,Paris Eternal,San Francisco Shock,Paris Eternal,64.340935,64.337395,93.441025,0,NA,NA,3,2,3600,4,Qualifiers,Hybrid,"NA region",3,0
2022-05-05T21:45:00Z,2022-05-05T21:53:00Z,2022: Kickoff Clash: Qualifiers,38972,3,San Francisco Shock,San Francisco Shock,Paris Eternal,Dorado,1,3,1,NA,San Francisco Shock,Paris Eternal,Paris Eternal,San Francisco Shock,85.867325,0,0,0,NA,NA,3,0,3600,5,Qualifiers,Escort,"NA region",3,0
2022-05-05T21:54:00Z,2022-05-05T22:01:00Z,2022: Kickoff Clash: Qualifiers,38972,3,San Francisco Shock,San Francisco Shock,Paris Eternal,Dorado,2,3,1,NA,Paris Eternal,San Francisco Shock,Paris Eternal,San Francisco Shock,81.3945,85.867325,0,0,NA,NA,1,3,3600,6,Qualifiers,Escort,"NA region",3,0
2022-05-05T22:23:00Z,2022-05-05T22:28:00Z,2022: Kickoff Clash: Qualifiers,38973,1,Atlanta Reign,Florida Mayhem,Atlanta Reign,Lijiang Tower,1,2,2,Control Center,Florida Mayhem,Atlanta Reign,Florida Mayhem,Atlanta Reign,0,0,0,0,100,82,1,0,4680,1,Qualifiers,Control,"NA region",3,1
2022-05-05T22:29:00Z,2022-05-05T22:32:00Z,2022: Kickoff Clash: Qualifiers,38973,1,Atlanta Reign,Florida Mayhem,Atlanta Reign,Lijiang Tower,2,2,2,Night Market,Florida Mayhem,Atlanta Reign,Florida Mayhem,Atlanta Reign,0,0,0,0,48,100,1,1,4680,2,Qualifiers,Control,"NA region",3,1
2022-05-05T22:33:00Z,2022-05-05T22:37:00Z,2022: Kickoff Clash: Qualifiers,38973,1,Atlanta Reign,Florida Mayhem,Atlanta Reign,Lijiang Tower,3,2,2,Garden,Florida Mayhem,Atlanta Reign,Florida Mayhem,Atlanta Reign,0,0,0,0,100,60,2,1,4680,3,Qualifiers,Control,"NA region",3,1
2022-05-05T22:44:00Z,2022-05-05T22:52:00Z,2022: Kickoff Clash: Qualifiers,38973,2,Atlanta Reign,Atlanta Reign,Florida Mayhem,Eichenwalde,1,5,4,NA,Atlanta Reign,Florida Mayhem,Florida Mayhem,Atlanta Reign,67.7359,0,17.078003,0,NA,NA,3,0,4680,4,Qualifiers,Hybrid,"NA region",3,1
2022-05-05T22:54:00Z,2022-05-05T23:00:00Z,2022: Kickoff Clash: Qualifiers,38973,2,Atlanta Reign,Atlanta Reign,Florida Mayhem,Eichenwalde,2,5,4,NA,Florida Mayhem,Atlanta Reign,Florida Mayhem,Atlanta Reign,67.7359,67.7359,137.372,60,NA,NA,3,3,4680,5,Qualifiers,Hybrid,"NA region",3,1
